id,name
629,christ high school oleyo ibadan
630,community secondary school onipe
631,molete high school ibadan
632,olojuoro grammar school olojuoro ibadan
633,addin international college ibadan
634,alaho community grammar school alaho
635,community grammar school bare
636,ariyo international college sango ibadan
637,hill top high school olundeolomi
638,peace international college ogundepo area mosfala ibadan
639,merit comprehensive high school ibadan
640,methodist senior high school ii ibadan
641,st annes comprehensive college ibadan
642,moslem secondary school odinjo
643,oasis international high school ibadan
644,community senior secondary school abafa olomi ibadan
645,community secondary school senior olomi ibadan
646,pace setter comprehensive college ibadan
647,hallmark college odoona elewe rd ibadan
648,cty model college ajao village ibadan
649,olunde secondary school  olunde ibadan
650,moslem senior grammar school  odinjo ibadan
651,methodist high school   lagos ibadan exp rd ibadan
652,ifelodun community grammar school moslem ibadan
653,summit comprehensive college ayegun ibadan
654,atagba community grammar shool boluwaji ibadan
655,dominion college ayegun ibadan
656,community grammar school ibadan
657,ayegun community grammar school ibadan
658,icreti model college oloola idi mango ibadan
659,lanfams advance comprehensive college ayegun ibadan
660,ibukunolu model college soka sanyo ibadan
661,anglican grammar school ojebode
662,zumatul hujaj community grammar school olorunsogo ibadan
663,ajia secondary grammar school ajia ibadan
664,community secondary school araromi aperin ibadan
665,elekuro high school oke ogbere ibadan
666,community grammar school akanran
667,olorunda ogunsola community grammar school ibadan
668,community secondary school gbedun via ibadan
669,community secondary school badeku
670,ogbere community high school idiosan ibadan
671,sucess high school akilapa
672,asegun comprehensive high school ibadan
673,tunmise comprehensive model college ibadan
674,jesus the rock college jegede akanran road ibadan
675,abundant model college orita merin ibadan
676,ummulqura high school amuloko area ibadan
677,adura international model college ibadan
678,goodwill comprehensive high school ibadan
679,methodist secondary school gangansi ogbere
680,abonde community grammar school
681,zumuratul hujaj community grammar school ii ibadan
682,zumuratul hujaj secondary school olorunsogo ibadan
683,airport community senior high school ii ogbere
684,community high school sawia
685,help line college gbaremu oremeji ibadan
686,tender care college amuloko ibadan
687,zumratul hujaj high school oke ogbere
688,zumratul hujaj community senior grammar school v oke ogbere
689,bioku alaadun community grammar school ibadan
690,community high school alaadun area ibadan
691,glorious college amuloko ibadan
692,glory comprehensive college olorunsogo nepa exp ibadan
693,baptist high school igboho
694,irepo grammar school igboho
695,ifelodun grammar school igboho
696,igboho more community grammar school igboho
697,faith immaculate academy igboho
698,comprehensive high school igbope
699,muslim grammar school igboho
700,ooreoluwa baptist academy igboho
701,c  s model college igboho
702,ireti ogo baptist college igboho
703,muslim high school bonni igboho
704,igbehin  adun college igboho
705,shining stars model college igboho
706,tewure grammar school tewure ogbomoso
707,ikoyi grammar school ikoyiile
708,community grammar school oolo
709,community secondary school ahorodada
710,community high school ahoro esinele
711,community grammar school iluju
712,olokoto c grammar school olokoto ogbomoso
713,lasubualada community grammar school lasubu
714,eso comprehensive college ikoyiile
715,community grammar school alaroponla oriire local govt ikoyi ile
716,ajinapa community senior school ajinapa
717,holy comprehensive college orile aipo
718,olorunda community grammar school guguru
719,jehovah shammah baptist college araromi
720,community grammar school ayekale
721,community grammar school adafila via ikoyiile
722,olivet baptist high school oyo
723,saint bernardine girls grammar school oyo
724,durbar grammar school oyo
725,anglicanmethodist secondary school ajagba oyo
726,abiodun atiba memorial institute oyo
727,oba adeyemi high school oyo
728,nesto college oyo
729,saint francis catholic college oyo
730,jimade comprehensive college araromi oyo
731,rock of ages comprehensive high school oyo
732,afolabi memorial comprehensive high school oyo
733,durbar senior grammar school ii oyo
